;0;1;
activities;5;5;
activity_notifications;9;9;
categories;6;6;
irclog;4;4;
notifications;9;9;
notifications_bounces;6;6;
posts;18;18;
posts_bounties;6;6;
posts_history;5;5;
posts_notifications;3;3;
posts_replies;11;11;
posts_replies_history;5;5;
posts_replies_votes;5;5;
posts_subscribers;4;4;
posts_views;3;3;
posts_votes;5;5;
users;18;18;
users_badges;7;7;
