;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
attribute;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0;0;
basename;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;
member;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;
occurrence;8;8;8;8;8;8;0;0;0;0;0;0;0;0;0;0;
story;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;
topic;4;4;4;4;4;4;0;0;0;0;0;0;0;0;0;0;
topicdb.attribute;0;0;0;0;0;0;8;8;8;8;8;8;8;8;8;8;
topicdb.basename;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;
topicdb.member;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;
topicdb.occurrence;0;0;0;0;0;0;8;8;8;8;8;8;8;8;8;8;
topicdb.topic;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;
topicdb.topicmap;0;0;0;0;0;0;5;5;4;4;4;5;5;7;7;8;
topicdb.topicref;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;
topicmap;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;
topicref;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;
