;0;1;2;3;4;5;6;7;
address;0|-|-|-|-;13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];13[0|0|0|0];
affiliate;0|-|-|-|-;31[0|0|0|0];31[0|0|0|0];31[0|0|0|0];31[0|0|0|0];31[0|0|0|0];31[0|0|0|0];31[0|0|0|0];
affiliate_transaction;0|-|-|-|-;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
attribute;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
attribute_description;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
attribute_group;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
attribute_group_description;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
banner;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
banner_image;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
banner_image_description;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
category;0|-|-|-|-;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
category_description;0|-|-|-|-;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
category_filter;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
category_path;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
category_to_layout;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
category_to_store;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
country;0|-|-|-|-;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
coupon;0|-|-|-|-;14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];
coupon_category;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
