;0;1;2;3;4;5;6;
shortener;0|-|-|-|-;4[0|0|0|0];5[1|0|0|0];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
url_shortener;4[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
