trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1438832979;1438468845.sql;1438832979.sql;1;1;4;4;1;1;0;0;0;0;4;4
2;1439512516;1438832979.sql;1439512516.sql;1;1;4;5;0;0;1;0;0;0;0;0
3;1439665583;1439512516.sql;1439665583.sql;1;1;5;5;0;0;0;0;1;0;0;0
4;1439670938;1439665583.sql;1439670938.sql;1;1;5;5;0;0;0;0;0;0;0;0
5;1441324747;1439670938.sql;1441324747.sql;1;1;5;5;0;0;0;0;0;0;0;0
6;1442109590;1441324747.sql;1442109590.sql;1;1;5;5;0;0;0;0;0;0;0;0
