;0;1;2;3;4;5;6;7;8;9;10;11;12;
atoms;8;8;8;8;8;8;8;8;8;8;8;8;8;
content;9;9;9;9;9;9;9;9;9;9;9;9;9;
data;6;6;6;6;6;6;6;6;6;6;6;6;6;
domains;2;2;2;2;2;2;2;2;2;2;2;2;2;
items;14;14;14;14;14;14;14;14;14;14;14;14;14;
languages;3;3;3;3;3;3;3;3;3;3;3;3;3;
levels;2;2;2;2;2;2;2;2;2;2;2;2;2;
pages;9;9;9;9;9;9;9;9;9;9;9;9;9;
templates;9;9;9;9;9;9;9;9;9;9;9;9;9;
users;13;13;13;13;13;13;13;13;13;13;13;13;13;
