table;dur;birth;death;chngs;s@s;s@e;sAvg
binomial_model;10;0;-;4;7;6;6.6
cluster;10;0;-;2;7;7;7.0
cluster_type;10;0;-;1;2;2;2.0
cluster_yarn;10;0;-;1;6;6;6.0
dataset;10;0;-;2;9;9;9.0
datasource;10;0;-;2;7;7;7.0
engine;10;0;-;2;4;4;4.0
entity_type;10;0;-;1;2;2;2.0
history;10;0;-;2;7;7;7.0
identity;10;0;-;3;7;7;7.0
identity_role;10;0;-;1;2;2;2.0
identity_workgroup;10;0;-;1;2;2;2.0
label;10;0;-;2;6;6;6.0
meta;10;0;-;1;2;2;2.0
model;10;0;-;12;17;19;17.9
multinomial_model;10;0;-;4;5;4;4.6
permission;10;0;-;1;3;3;3.0
privilege;10;0;-;2;4;4;4.0
project;10;0;-;2;5;5;5.0
regression_model;10;0;-;4;5;4;4.6
role;10;0;-;2;4;4;4.0
role_permission;10;0;-;1;2;2;2.0
service;10;0;-;3;8;9;8.9
workgroup;10;0;-;2;5;5;5.0
