;0;1;2;3;4;5;6;7;8;9;
binomial_model;7;7;7;7;7;6;6;7;6;6;
cluster;7;7;7;7;7;7;7;7;7;7;
cluster_type;2;2;2;2;2;2;2;2;2;2;
cluster_yarn;6;6;6;6;6;6;6;6;6;6;
dataset;9;9;9;9;9;9;9;9;9;9;
datasource;7;7;7;7;7;7;7;7;7;7;
engine;4;4;4;4;4;4;4;4;4;4;
entity_type;2;2;2;2;2;2;2;2;2;2;
history;7;7;7;7;7;7;7;7;7;7;
identity;7;7;7;7;7;7;7;7;7;7;
identity_role;2;2;2;2;2;2;2;2;2;2;
identity_workgroup;2;2;2;2;2;2;2;2;2;2;
label;6;6;6;6;6;6;6;6;6;6;
meta;2;2;2;2;2;2;2;2;2;2;
model;17;17;17;17;17;20;19;17;19;19;
multinomial_model;5;5;5;5;5;4;4;5;4;4;
permission;3;3;3;3;3;3;3;3;3;3;
privilege;4;4;4;4;4;4;4;4;4;4;
project;5;5;5;5;5;5;5;5;5;5;
regression_model;5;5;5;5;5;4;4;5;4;4;
role;4;4;4;4;4;4;4;4;4;4;
role_permission;2;2;2;2;2;2;2;2;2;2;
service;8;9;9;9;9;9;9;9;9;9;
workgroup;5;5;5;5;5;5;5;5;5;5;
