;0;1;2;3;4;5;6;7;8;9;
binomial_model;0;0;0;0;0;1;0;0;1;0;
cluster;0;0;0;0;0;0;0;0;0;0;
cluster_type;0;0;0;0;0;0;0;0;0;0;
cluster_yarn;0;0;0;0;0;0;0;0;0;0;
dataset;0;0;0;0;0;0;0;0;0;0;
datasource;0;0;0;0;0;0;0;0;0;0;
engine;0;0;0;0;0;0;0;0;0;0;
entity_type;0;0;0;0;0;0;0;0;0;0;
history;0;0;0;0;0;0;0;0;0;0;
identity;0;0;0;0;0;0;0;0;0;0;
identity_role;0;0;0;0;0;0;0;0;0;0;
identity_workgroup;0;0;0;0;0;0;0;0;0;0;
label;0;0;0;0;0;0;0;0;0;0;
meta;0;0;0;0;0;0;0;0;0;0;
model;0;0;0;0;0;0;2;2;0;0;
multinomial_model;0;0;0;0;0;1;0;0;1;0;
permission;0;0;0;0;0;0;0;0;0;0;
privilege;0;0;0;0;0;0;0;0;0;0;
project;0;0;0;0;0;0;0;0;0;0;
regression_model;0;0;0;0;0;1;0;0;1;0;
role;0;0;0;0;0;0;0;0;0;0;
role_permission;0;0;0;0;0;0;0;0;0;0;
service;0;0;0;0;0;0;0;0;0;0;
workgroup;0;0;0;0;0;0;0;0;0;0;
