LADClass	0%-5%	5%-10%	10%-15%	15%-20%	20%-25%	25%-30%	30%-35%	35%-40%	40%-45%	45%-50%	50%-55%	55%-60%	60%-65%	65%-70%	70%-75%	75%-80%	80%-85%	85%-90%	90%-95%	95%-100%
10	0.761	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0.009	0	0	0.044	0.044
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0.035
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
