table;dur;birth;death;chngs;s@s;s@e;sAvg
Announcement;2;0;1;0;3;3;3.0
DoneWithAnnouncement;2;0;1;0;2;2;2.0
Game;2;0;1;0;5;5;5.0
GameUser;2;0;1;0;7;7;7.0
Organization;2;0;1;0;3;3;3.0
OrganizationEmailDomain;2;0;1;0;2;2;2.0
User;2;0;1;3;23;26;24.5
UserHistory;2;0;1;0;6;6;6.0
UserNotification;2;0;1;0;6;6;6.0
alembic_version;9;41;-;1;1;1;1.0
badge;23;20;-;2;2;2;2.2608695
bot;48;2;-;16;11;13;11.895833
bot_history;48;2;-;20;8;9;8.958333
challenge;2;48;-;0;8;8;8.0
challenge_participant;2;48;-;0;5;5;5.0
game;48;2;-;11;5;9;7.6875
game_bot_stat;24;21;-;19;3;10;9.708333
game_participant;48;2;-;18;8;11;8.125
game_stat;24;21;-;14;5;5;5.0
game_view_stat;22;27;-;6;3;2;2.1363637
hackathon;34;16;-;12;7;10;8.3529415
hackathon_participant;34;16;-;5;2;2;2.0
hackathon_snapshot;34;16;-;21;7;9;8.794118
halite_1_user;11;39;-;4;21;21;21.09091
leagues;3;47;-;0;5;5;5.0
organization;48;2;-;7;2;4;3.5416667
organization_email_domain;48;2;-;4;2;2;2.0
player;1;2;2;0;17;17;17.0
player_notification;1;2;2;0;6;6;6.0
user;47;3;-;19;17;19;17.978724
user_badge;23;20;-;4;5;5;5.0
user_notification;47;3;-;6;6;6;6.0
user_tier_history;20;25;-;5;4;4;4.0
