table;dur;birth;death;chngs;s@s;s@e;sAvg
agent_errors;52;0;-;0;4;4;4.0
agents;52;0;-;0;15;15;15.0
asg_alarms;43;0;42;4;10;10;10.0
asg_lifecycle_events;41;2;42;0;5;5;5.0
base_images;39;3;42;0;8;8;8.0
builds;52;0;-;5;13;14;13.826923
cluster_upgrade_events;16;21;42;0;10;10;10.0
clusters;39;3;42;14;9;10;9.256411
config_history;52;0;-;0;6;6;6.0
datas;52;0;-;0;5;5;5.0
deploy_constraints;6;46;-;1;6;7;6.6666665
deploys;52;0;-;1;16;16;16.0
environs;52;0;-;29;27;37;31.134615
global_envs;52;0;-;0;4;4;4.0
group_mappings;9;33;42;0;2;2;2.0
groups;43;0;42;56;18;14;16.651163
groups_and_envs;52;0;-;0;2;2;2.0
groups_and_roles;52;0;-;0;4;4;4.0
health_checks;43;0;42;1;16;17;16.976744
healthcheck_errors;43;0;42;0;10;10;10.0
host_tags;6;46;-;0;5;5;5.0
host_types;39;3;42;0;9;9;9.0
hosts;52;0;-;3;7;8;7.480769
hosts_and_envs;52;0;-;0;2;2;2.0
hotfixes;52;0;-;0;15;15;15.0
images;43;0;42;0;5;5;5.0
lending_activities;40;3;42;0;5;5;5.0
managing_groups;40;3;42;9;7;9;8.15
new_instances_reports;43;0;42;0;4;4;4.0
pas_configs;15;28;42;15;5;7;5.9333334
placements;39;3;42;1;6;7;6.717949
promotes;52;0;-;0;10;10;10.0
schedules;10;39;-;1;7;7;7.0
schema_versions;7;45;-;0;1;1;1.0
security_zones;39;3;42;0;6;6;6.0
spot_auto_scaling_groups;32;10;42;12;5;6;6.59375
tags;32;20;-;2;10;8;8.0625
tokens_and_roles;52;0;-;0;6;6;6.0
user_ratings;52;0;-;0;5;5;5.0
users_and_roles;52;0;-;0;4;4;4.0
