table;dur;birth;death;chngs;s@s;s@e;sAvg
category;7;3;-;1;2;3;2.5714285
comments;6;4;-;2;3;5;4.5
files;8;2;-;2;2;4;3.0
status;4;6;-;0;2;2;2.0
task;10;0;-;9;7;12;9.5
user;4;6;-;0;4;4;4.0
