trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1380475846.sql;1380500346.sql;-;-;-;-;-;-;-
2;1380500346.sql;1391288404.sql;-;-;-;-;-;-;-
3;1391288404.sql;1391345814.sql;-;-;-;-;-;-;-
