table;dur;birth;death;chngs;s@s;s@e;sAvg
access_tokens;24;0;-;4;5;6;5.2083335
accesses;24;0;-;0;4;4;4.0
ad_groups;24;0;-;0;2;2;2.0
ad_types;24;0;-;0;2;2;2.0
assets;24;0;-;1;10;11;10.666667
attributions;24;0;-;0;19;19;19.0
audits;21;2;-;5;9;9;9.0
authors;24;0;-;6;7;7;7.25
bid_match_types;24;0;-;0;2;2;2.0
browsers;24;0;-;0;2;2;2.0
campaigns;24;0;-;0;2;2;2.0
categories;24;0;-;0;4;4;4.0
cities;24;0;-;0;2;2;2.0
contents;24;0;-;0;2;2;2.0
cookies;24;0;-;0;1;1;1.0
countries;24;0;-;0;2;2;2.0
creatives;24;0;-;0;2;2;2.0
device_types;24;0;-;0;2;2;2.0
devices;24;0;-;0;2;2;2.0
domains;24;0;-;0;2;2;2.0
event_types;24;0;-;0;2;2;2.0
events;24;0;-;0;5;5;5.0
experiments;24;0;-;0;2;2;2.0
http_methods;24;0;-;0;2;2;2.0
ip_addresses;24;0;-;0;2;2;2.0
ip_lookups;24;0;-;0;7;7;7.0
keywords;24;0;-;0;2;2;2.0
locations;24;0;-;0;4;4;4.0
match_types;24;0;-;0;2;2;2.0
mediums;24;0;-;0;2;2;2.0
mime_types;24;0;-;0;2;2;2.0
networks;24;0;-;0;2;2;2.0
owners;24;0;-;0;2;2;2.0
ownerships;24;0;-;0;2;2;2.0
page_assets;24;0;-;0;3;3;3.0
page_revision_assets;24;0;-;0;3;3;3.0
page_revisions;24;0;-;1;20;21;20.666666
page_templates;17;7;-;0;3;3;3.0
page_views;24;0;-;0;13;13;13.0
pages;24;0;-;14;19;23;21.875
paths;24;0;-;0;2;2;2.0
placements;24;0;-;0;2;2;2.0
platforms;24;0;-;0;2;2;2.0
positions;24;0;-;0;2;2;2.0
query_strings;24;0;-;0;2;2;2.0
referers;24;0;-;0;5;5;5.0
regions;24;0;-;0;2;2;2.0
schema_migrations;24;0;-;1;1;1;1.0
search_terms;24;0;-;0;2;2;2.0
sources;24;0;-;0;2;2;2.0
targets;24;0;-;0;2;2;2.0
template_revisions;21;1;-;1;13;14;13.095238
templates;24;0;-;17;11;17;15.166667
theme_assets;24;0;-;0;3;3;3.0
themes;24;0;-;2;10;12;11.125
user_agent_types;24;0;-;0;2;2;2.0
user_agents;24;0;-;0;8;8;8.0
visitors;24;0;-;0;3;3;3.0
visits;24;0;-;0;8;8;8.0
