;0;1;
cantones;3[0|0|0|0];3[0|0|0|0];
centros;5[0|0|0|0];5[1|1|0|0];
distritos;3[0|0|0|0];3[0|0|0|0];
distritos_electorales;0|-|-|-|-;3[0|0|0|0];
juntas;2[0|0|0|0];2[0|0|0|0];
padron;2[0|0|0|0];2[0|0|0|0];
personas;8[0|0|0|0];7[0|1|0|0];
provincias;2[0|0|0|0];2[0|0|0|0];
