;0;1;2;3;4;5;6;7;8;9;
dependent_tasks;0;2;2;2;2;2;2;2;2;2;
task_statistics;0;0;0;0;0;0;6;6;6;6;
tasks;17;19;19;20;20;20;20;20;20;20;
