Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	60	0.0	0.0	0.22900763358778625
1	0	3	0.017857142857142856	0.0	0.24045801526717556
2	0	3	0.03571428571428571	0.0	0.25190839694656486
3	0	0	0.05357142857142857	0.0	0.25190839694656486
4	0	0	0.07142857142857142	0.0	0.25190839694656486
5	0	0	0.08928571428571429	0.0	0.25190839694656486
6	0	0	0.10714285714285714	0.0	0.25190839694656486
7	0	2	0.125	0.0	0.2595419847328244
8	0	0	0.14285714285714285	0.0	0.2595419847328244
9	6	7	0.16071428571428573	0.3157894736842105	0.2862595419847328
10	0	0	0.17857142857142858	0.3157894736842105	0.2862595419847328
11	13	54	0.19642857142857142	1.0	0.49236641221374045
12	0	2	0.21428571428571427	1.0	0.5
13	0	0	0.23214285714285715	1.0	0.5
14	0	0	0.25	1.0	0.5
15	0	1	0.26785714285714285	1.0	0.5038167938931297
16	0	0	0.2857142857142857	1.0	0.5038167938931297
17	0	5	0.30357142857142855	1.0	0.5229007633587786
18	0	5	0.32142857142857145	1.0	0.5419847328244274
19	0	0	0.3392857142857143	1.0	0.5419847328244274
20	0	90	0.35714285714285715	1.0	0.8854961832061068
21	0	1	0.375	1.0	0.8893129770992365
22	0	1	0.39285714285714285	1.0	0.8931297709923662
23	0	0	0.4107142857142857	1.0	0.8931297709923662
24	0	0	0.42857142857142855	1.0	0.8931297709923662
25	0	0	0.44642857142857145	1.0	0.8931297709923662
26	0	0	0.4642857142857143	1.0	0.8931297709923662
27	0	1	0.48214285714285715	1.0	0.896946564885496
28	0	0	0.5	1.0	0.896946564885496
29	0	0	0.5178571428571429	1.0	0.896946564885496
30	0	0	0.5357142857142857	1.0	0.896946564885496
31	0	0	0.5535714285714286	1.0	0.896946564885496
32	0	0	0.5714285714285714	1.0	0.896946564885496
33	0	0	0.5892857142857143	1.0	0.896946564885496
34	0	0	0.6071428571428571	1.0	0.896946564885496
35	0	2	0.625	1.0	0.9045801526717555
36	0	2	0.6428571428571429	1.0	0.9122137404580151
37	0	0	0.6607142857142857	1.0	0.9122137404580151
38	0	1	0.6785714285714286	1.0	0.9160305343511448
39	0	0	0.6964285714285714	1.0	0.9160305343511448
40	0	0	0.7142857142857143	1.0	0.9160305343511448
41	0	0	0.7321428571428571	1.0	0.9160305343511448
42	0	0	0.75	1.0	0.9160305343511448
43	0	0	0.7678571428571429	1.0	0.9160305343511448
44	0	0	0.7857142857142857	1.0	0.9160305343511448
45	0	0	0.8035714285714286	1.0	0.9160305343511448
46	0	0	0.8214285714285714	1.0	0.9160305343511448
47	0	0	0.8392857142857143	1.0	0.9160305343511448
48	0	0	0.8571428571428571	1.0	0.9160305343511448
49	0	0	0.875	1.0	0.9160305343511448
50	0	0	0.8928571428571429	1.0	0.9160305343511448
51	0	0	0.9107142857142857	1.0	0.9160305343511448
52	0	21	0.9285714285714286	1.0	0.99618320610687
53	0	0	0.9464285714285714	1.0	0.99618320610687
54	0	0	0.9642857142857143	1.0	0.99618320610687
55	0	0	0.9821428571428571	1.0	0.99618320610687
56	0	1	1.0	1.0	0.9999999999999997
