;0;1;2;3;
bar;3[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
bars;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
comps;0|-|-|-|-;0|-|-|-|-;6[0|0|0|0];5[0|1|0|0];
entries;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
foo;3[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
foos;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
keys;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];
schema_migrations;1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];
words;10[0|0|0|0];11[1|0|0|0];11[0|0|0|0];11[0|0|0|0];
