;0;1;2;3;
bar;3;0;0;0;
bars;0;3;3;3;
comps;0;0;6;5;
entries;7;7;7;7;
foo;3;0;0;0;
foos;0;3;3;3;
keys;0;0;3;3;
schema_migrations;1;1;1;1;
words;10;11;11;11;
