;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
access;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;
acl;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;
permissions;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;
privileges;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
resources;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
roles;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
users;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
