table;dur;birth;death;chngs;s@s;s@e;sAvg
macipmappingcache;1;2;-;0;2;2;2.0
physicalmachine;3;0;-;0;4;4;4.0
virtualmachine;3;0;-;1;4;5;4.6666665
vmmacmapping;1;2;-;0;2;2;2.0
