;0;1;2;
macipmappingcache;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];
physicalmachine;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
virtualmachine;4[0|0|0|0];5[1|0|0|0];5[0|0|0|0];
vmmacmapping;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];
