;0;1;2;3;
auth_group;0;0;0;0;
auth_group_permissions;0;0;0;0;
auth_message;0;0;0;0;
auth_permission;0;0;0;0;
auth_user;0;0;0;0;
auth_user_groups;0;0;0;0;
auth_user_user_permissions;0;0;0;0;
django_admin_log;0;0;0;0;
django_content_type;0;0;0;0;
django_session;0;0;0;0;
geoip_country_to_region;0;0;0;0;
geoip_ip_to_country;0;0;0;0;
geoip_mirror_region_map;0;0;0;0;
geoip_regions;0;0;0;0;
mirror_aliases;0;0;0;0;
mirror_lmm_lang_exceptions;0;1;0;0;
mirror_location_mirror_map;0;1;0;0;
mirror_locations;0;0;0;0;
mirror_log;0;0;0;0;
mirror_mirrors;0;0;0;0;
mirror_mirrors_contacts;0;0;0;0;
mirror_os;0;0;0;0;
mirror_product_langs;0;0;0;0;
mirror_products;0;0;0;0;
mirror_sessions;0;0;0;0;
mirror_users;0;0;0;0;
sentry_log;0;0;0;0;
south_migrationhistory;0;0;0;0;
users_userprofile;0;0;0;0;
